candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
139,94,94,D006333,Heart Failure,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
140,96,96,D003920,Diabetes Mellitus,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
141,162,162,D003866,Depressive Disorder,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
142,266,266,D013274,Stomach Neoplasms,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
143,548,548,D017202,Myocardial Ischemia,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
144,576,576,D002311,"Cardiomyopathy, Dilated",33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
145,600,600,D006940,Hyperemia,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
146,651,651,D018754,Ventricular Dysfunction,33,727,DB00182,Amphetamine,17,1983,153,ADRB1,True,True,False,gene_star
147,93,93,D006973,Hypertension,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
148,94,94,D006333,Heart Failure,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
149,96,96,D003920,Diabetes Mellitus,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
150,106,106,D009765,Obesity,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
151,162,162,D003866,Depressive Disorder,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
152,266,266,D013274,Stomach Neoplasms,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
153,548,548,D017202,Myocardial Ischemia,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
154,576,576,D002311,"Cardiomyopathy, Dilated",35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
155,600,600,D006940,Hyperemia,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
156,651,651,D018754,Ventricular Dysfunction,35,729,DB00187,esmolol,17,1983,153,ADRB1,True,True,False,gene_star
157,94,94,D006333,Heart Failure,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
158,96,96,D003920,Diabetes Mellitus,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
159,106,106,D009765,Obesity,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
160,162,162,D003866,Depressive Disorder,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
161,266,266,D013274,Stomach Neoplasms,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
162,548,548,D017202,Myocardial Ischemia,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
